Service,Provider,Category,GPU / Compute,VRAM,Free Tier Type,Max GPU Hours / Credits,Authentication,Credit Card Required,Docker Support,API Available,Region,Signup Link,Source URL,Notes
ENCCS Supercomputer Access Support,ENCCS,HPC support,Support for access to EuroHPC and related systems,N/A,Program support,N/A,Application / contact,No,Yes,No,EU / Sweden,https://enccs.se/get-supercomputer-access/,https://enccs.se/get-supercomputer-access/,Support/enablement rather than direct compute ownership.
Inference.net Free Credits,Inference.net,Inference / training platform,Platform credits,N/A,Credits,Starter credits on signup,Email,Depends,Yes,Yes,Global,https://inference.net/,https://inference.net/pricing,Platform has offered free credits; exact amount can change.
Cohere Trial API Key,Cohere,Inference API,Hosted model API,N/A,Trial API access,Rate / trial limited,Email,Depends,No,Yes,Global,https://cohere.com/pricing,https://cohere.com/pricing,API access rather than raw compute.
OpenRouter Free Plan,OpenRouter,Inference API,LLM API routing,N/A,Free tier,Rate-limited,Email,No,No,Yes,Global,https://openrouter.ai/,https://openrouter.ai/pricing,"Useful for model access, not raw GPU instances."
FriendliAI Launch Credit Program,FriendliAI,Inference credits,Inference credits (GPU-backed service),N/A,Program credits,Program-dependent,Application,Depends,Yes,Yes,Global,https://friendli.ai/promotions/10k-promotion,https://friendli.ai/promotions/10k-promotion,Focused on inference rather than raw VM access.
Replicate Try for Free Collection,Replicate,Inference platform,Hosted model runs on GPU-backed infra,N/A,Free tier / credits,Collection-dependent,Email / GitHub,Depends,No,Yes,Global,https://replicate.com/collections/try-for-free,https://replicate.com/collections/try-for-free,Good for testing inference workflows.
MyBinder.org,Project Jupyter,Notebook,CPU only,N/A,Free tier,Ephemeral sessions,GitHub repo / public repo,No,Partial,No,Global,https://mybinder.org/,https://mybinder.readthedocs.io/en/latest/about/user-guidelines.html,No GPU; useful as zero-cost notebook baseline.
Google Cloud Research Credits (Education),Google for Education,Research credits,Google Cloud credits,N/A,Program credits,Program-dependent,Application + Google account,Depends,Yes,Yes,Global,https://edu.google.com/programs/credits/research/,https://edu.google.com/programs/credits/research/,For eligible faculty/PhD/postdocs.
Microsoft for Startups Founders Hub,Microsoft,Startup credits,Azure credits,N/A,Program credits,Program-dependent,Microsoft account / startup verification,Depends,Yes,Yes,Global,https://www.microsoft.com/startups,https://www.microsoft.com/en/startups,Startup program with Azure credits by tier.
AWS Activate Credits,AWS,Startup credits,AWS credits,N/A,Program credits,Program-dependent,AWS account / startup verification,Depends,Yes,Yes,Global,https://aws.amazon.com/startups/credits,https://aws.amazon.com/startups/credits,"Startup credits, often substantial."
OVHcloud Startup Program,OVHcloud,Startup credits,OVHcloud credits,N/A,Program credits,Tier-dependent,Email / startup verification,Depends,Yes,Yes,EU / Global,https://startup.ovhcloud.com/en/,https://startup.ovhcloud.com/en/,Useful if you want EU-hosted credits.
Google for Startups Cloud Program (AI Tier),Google,Startup credits,Google Cloud credits,N/A,Program credits,Program-dependent,Google account / startup verification,Depends,Yes,Yes,Global,https://cloud.google.com/startup/ai,https://cloud.google.com/startup/ai,Major startup credit path for AI companies.
Baidu AI Cloud,Baidu,Cloud / AI platform,AI cloud services; GPU dependent,Varies,Promotional / trial dependent,Promotional,Account,Yes,Yes,Yes,Asia,https://cloud.baidu.com/,https://cloud.baidu.com/,Included as a major China AI cloud ecosystem entry.
Vultr GPU Cloud,Vultr,Cloud GPU,NVIDIA GPU instances,Varies,Promotional / trial dependent,Promotional,Email,Yes,Yes,Yes,Global,https://www.vultr.com/products/cloud-gpu/,https://www.vultr.com/products/cloud-gpu/,Useful mainstream alternative; credits/promos vary.
Tencent Cloud GPU,Tencent Cloud,Cloud GPU,Tencent GPU instance families,Varies,Promotional / trial dependent,Promotional,Account,Yes,Yes,Yes,Asia / Global,https://www.tencentcloud.com/products/cvm,https://www.tencentcloud.com/products/cvm,Major Asia provider; free GPU access usually via promotions/credits.
Alibaba Cloud GPU,Alibaba Cloud,Cloud GPU,Alibaba GPU instance families,Varies,Promotional / trial dependent,Promotional,Account,Yes,Yes,Yes,Asia / Global,https://www.alibabacloud.com/product/ecs/gpu,https://www.alibabacloud.com/product/ecs/gpu,Major Asia provider; often credit-based for newcomers.
IBM Cloud Free (Lite/Trial),IBM,Cloud trial,Cloud services; GPU availability varies,Varies,Lite / trial,Plan-dependent,IBM ID,Depends,Yes,Yes,Global,https://www.ibm.com/cloud/free,https://www.ibm.com/products/cloud/free,Docs historically varied on card requirement by flow.
DigitalOcean Free Credit (new account),DigitalOcean,Cloud trial,"GPU Droplets: MI300X, H100, H200, RTX 4000 Ada, RTX 6000 Ada, L40S; plus general cloud products",20-192 GB by GPU,Credits ($200),$200 credit for first 60 days; GPU access and promo-credit eligibility can be account-dependent,Email / SSO,Yes,Yes,Yes,Global,https://www.digitalocean.com/,https://www.digitalocean.com/products/gpu-droplets,Good general cloud credits; GPU Droplets include H200 and MI300X but may be gated for new/promo accounts.
Azure for Students,Microsoft Azure,Cloud trial,"Selected Azure GPU services / N-series VMs, quota dependent",Varies,Credits ($100),$100 credit for 12 months; GPU use depends on quota and capacity,Student verification,No,Yes,Yes,Global,https://azure.microsoft.com/free/students,https://azure.microsoft.com/en-us/free/free-account-students-faq,No credit card for eligible students; quotas are not a guarantee of capacity.
Microsoft Azure Free Account,Microsoft Azure,Cloud trial,NC/ND families; GPU quota dependent,Varies,Credits ($200),$200 credit for 30 days; selected services free for 12 months or always free,Microsoft account,Yes,Yes,Yes,Global,https://azure.microsoft.com/free,https://azure.microsoft.com/en-us/free/,Free account plus selected services; GPU spend comes from credits and quota/capacity can limit access.
Oracle OCI Free Trial,Oracle,Cloud trial,GPU shapes quota dependent,Varies,Credits ($300),30 days or until credits exhausted,Email + phone,Yes,Yes,Yes,Global,https://www.oracle.com/cloud/free/,https://www.oracle.com/cloud/free/faq/,Trial credits may be used on eligible GPU services subject to region/quota.
NVIDIA LaunchPad,NVIDIA,Hands-on labs,NVIDIA enterprise stack labs,Varies,Free labs,Session-limited,Registration,Depends,Yes,No,Global,https://resources.nvidia.com/en-us-product-overview/launchpad-experience,https://resources.nvidia.com/en-us-product-overview/launchpad-experience,Not a general-purpose persistent cloud account.
NAIRR Pilot,NSF-led,HPC / AI resource pilot,Compute / data / tools via participating providers,Varies,Grant / program,Cohort/resource dependent,Application,No,Yes,Varies,US,https://www.nsf.gov/focus-areas/ai/nairr,https://www.nsf.gov/focus-areas/ai/nairr,US-focused AI research resource pilot.
EuroHPC Regular Access,EuroHPC JU,HPC grant,EuroHPC systems incl. GPU supercomputers,Varies,Grant,Allocation-based,Proposal,No,Yes,Cluster APIs,EU,https://www.eurohpc-ju.europa.eu/,https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-regular-access-mode_en,One-year projects; major EU route.
EuroHPC Extreme Scale Access,EuroHPC JU,HPC grant,EuroHPC systems incl. GPU supercomputers,Varies,Grant,Allocation-based,Proposal,No,Yes,Cluster APIs,EU,https://www.eurohpc-ju.europa.eu/,https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-extreme-scale-access-mode_en,For very large allocations.
EuroHPC Development Access,EuroHPC JU,HPC grant,EuroHPC systems,Varies,Grant,Allocation-based,Proposal,No,Yes,Cluster APIs,EU,https://www.eurohpc-ju.europa.eu/,https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-development-access_en,Continuously open with periodic cut-offs.
EuroHPC Benchmark Access,EuroHPC JU,HPC grant,EuroHPC systems,Varies,Grant,Allocation-based,Proposal,No,Yes,Cluster APIs,EU,https://www.eurohpc-ju.europa.eu/,https://www.eurohpc-ju.europa.eu/eurohpc-ju-call-proposals-benchmark-access_en,For benchmarking / porting workloads.
EuroHPC AI for Science & Collaborative EU Projects,EuroHPC JU,HPC grant,AI-focused EuroHPC GPU resources,Varies,Grant,Allocation-based,Proposal,No,Yes,Cluster APIs,EU,https://www.eurohpc-ju.europa.eu/,https://lumi-supercomputer.eu/call-for-ai-for-science-and-collab-eu-projects/,AI-oriented access route.
NSF ACCESS Allocations,ACCESS,HPC grant,US national HPC systems incl. GPU resources,Varies,Grant,Allocation-based,Proposal,No,Yes,Cluster APIs,US,https://allocations.access-ci.org/,https://allocations.access-ci.org/,Successor ecosystem to XSEDE.
DOE INCITE,US DOE,HPC grant,Leadership-class supercomputers,Varies,Grant,Allocation-based,Proposal,No,Yes,Cluster APIs,US,https://doeleadershipcomputing.org/,https://doeleadershipcomputing.org/,Top-tier US leadership computing allocations.
ALCF Director's Discretionary,Argonne Leadership Computing Facility,HPC grant,ALCF systems,Varies,Grant,Small/start-up allocations,Account / proposal,No,Yes,Cluster APIs,US,https://www.alcf.anl.gov/science/directors-discretionary-allocation-program,https://www.alcf.anl.gov/science/directors-discretionary-allocation-program,Good stepping stone before bigger allocations.
OLCF Director's Discretionary,Oak Ridge Leadership Computing Facility,HPC grant,OLCF systems,Varies,Grant,Small/start-up allocations,Account / proposal,No,Yes,Cluster APIs,US,https://www.olcf.ornl.gov/for-users/getting-started/,https://www.olcf.ornl.gov/for-users/getting-started/,Year-round entry path for some projects.
NERSC ERCAP,NERSC,HPC grant,NERSC systems,Varies,Grant,Allocation-based,NERSC account / proposal,No,Yes,Cluster APIs,US,https://www.nersc.gov/,https://docs.nersc.gov/allocations/ercap_form/,Exploratory / educational and recurring allocation process.
Compute Canada / Alliance,Digital Research Alliance of Canada,HPC grant,National academic HPC incl. GPU clusters,Varies,Grant,Allocation-based,Academic proposal,No,Yes,Cluster APIs,Canada,https://alliancecan.ca/,https://alliancecan.ca/en/services/advanced-research-computing,Canadian national research computing route.
Pawsey Supercomputing,Pawsey Supercomputing Research Centre,HPC grant,National HPC systems incl. GPUs,Varies,Grant,Allocation-based,Proposal,No,Yes,Cluster APIs,Australia,https://pawsey.org.au/,https://pawsey.org.au/,Australian research route.
JAXA HPC,JAXA,HPC grant,Institutional HPC resources,Varies,Grant / institutional,Allocation-based,Proposal / affiliation,No,Yes,Cluster APIs,Japan,https://global.jaxa.jp/,https://global.jaxa.jp/,Japan-specific research route; access depends on program.
INL HPC,Idaho National Laboratory,HPC grant,Institutional HPC resources,Varies,Grant / institutional,Allocation-based,Application,No,Yes,Cluster APIs,US,https://inl.gov/,https://hpc.inl.gov/SitePages/Home.aspx,US national lab route outside ACCESS/DOE umbrella programs.
Paperspace Gradient,DigitalOcean / Paperspace,ML platform,"Varies by plan (e.g., free CPU/GPU types)",Varies,Free tier,6 hour maximum continuous runtime per session,Email / GitHub,No,Yes,Yes,Global,https://www.paperspace.com/gradient,https://www.paperspace.com/pricing,Free tier available; queues and limits apply.
Nebius Research Credits Program,Nebius,Research credits,GPU cloud / model credits,Varies,Program credits,Up to 8 GPUs for a full year or up to 10M inference tokens; proposal-dependent,Application,Depends,Yes,Yes,Global,https://nebius.com/research-support,https://nebius.com/research-support,Academic/research oriented credits; enrollment windows can be time-bound.
Lambda Research Credits,Lambda,Research credits,Lambda GPU cloud credits,Varies,Program credits,Up to stated program amount,Application,Depends,Yes,Yes,Global,https://lambda.ai/research,https://lambda.ai/research,Academic/research support credits.
NVIDIA Academic Grant Program,NVIDIA,Research grant,Cloud / hardware / software grants,Varies,Grant,Call-dependent,Application,No,Yes,Varies,Global,https://www.nvidia.com/en-us/industries/higher-education-research/academic-grant-program/,https://www.nvidia.com/en-us/industries/higher-education-research/academic-grant-program/,"Academic support, not a self-serve cloud free tier."
Nebius AI Lift (NVIDIA Inception perk),Nebius,Startup credits,Nebius GPU cloud credits,Varies,Program credits,Program-dependent,Application,Depends,Yes,Yes,Global,https://nebius.com/,https://nebius.com/blog/posts/ai-lift-startups-innovation-with-nvidia,Startup credits tied to NVIDIA Inception eligibility.
RunPod Startup Program,RunPod,Startup credits,RunPod GPU credits,Varies,Program credits,"$1,000 Starter Tier credits or $25,000 bonus credits with $50,000 Growth Tier commitment",Application,Depends,Yes,Yes,Global,https://www.runpod.io/startup-program,https://www.runpod.io/startup-program,"Startup path beyond standard pay-as-you-go; credits can be used across Pods, Serverless, Instant Clusters, endpoints, and storage."
TPU Research Cloud (TRC),Google Research,Research grant,Cloud TPU,Varies by TPU pod / generation,Grant / program,Application-based,Application + Google account,Depends,Yes,Yes,Global,https://sites.research.google/trc/about/,https://sites.research.google/trc/about/,"Best for TPU-oriented research, not GPU."
